TMALPI_LH,Magnetizing Prayer,༄༅། །དབང་སྡུད་གསོལ་འདེབས།
TMJR2N_LH,"Shower of Indestructible Splendour A Self-Initiation for the Guru Practice of the Vidyādhara Assembly, from the Heart-Essence of the Vast Expanse I. Establishing the Maṇḍala II. The Actual Self-Initiation 1. [The Cleansing] 2. The Request 3. Gathering the Accumulations 4. Taking the Vows 5. Entering the Maṇḍala 6. Taking Birth as Their Heir and Descent of Wisdom 7. The Prayer 8. The Actual Bestowal of Empowerment i. The Vase Empowerment ii. Secret Empowerment iii. Knowledge-Wisdom Empowerment iv. The Ultimate Empowerment III. The Concluding Stages",༄༅། །ཀློང་ཆེན་སྙིང་ཐིག་ལེ་ལས། བླ་མ་རིག་འཛིན་འདུས་པའི་བདག་འཇུག་རྡོ་རྗེའི་བྱིན་འབེབས་ཅེས་བྱ་བ་བཞུགས་སོ།།
TMSEYH_LH,A Garland of Vajra Words A Prayer to the Guru,༄༅། །གུ་རུའི་གསོལ་འདེབས་རྡོ་རྗེའི་ཚིག་ཕྲེང་བཞུགས།
TM8Q0W_LH,All Wishes Swiftly Fulfilled A Prayer to the Mahāguru of Uḍḍiyāna in Eight Chapters Chapter One Chapter Two Chapter Three Chapter Four Chapter Five Chapter Six Chapter Seven Chapter Eight,༄༅། །ཨོ་རྒྱན་མ་ཧཱ་གུ་རུའི་གསོལ་འདེབས་ལེའུ་བརྒྱད་པ་འདོད་དོན་མྱུར་འགྲུབ་བཞུགས་སོ། །
TMWRVU_LH,Guru Yoga,༄༅། །བླ་མའི་རྣལ་འབྱོར་བཞུགས།
TMTBU0_LH,"Guru Yoga: The Complete Path of Sūtra And Tantra I. Four Common Outer Preliminaries II. Uncommon Inner Preliminaries 1. Taking Refuge and Generating Bodhicitta 3. Visualizing the Support for Accumulations in Guru Yoga 4. Seven Branches, The Essence of Accumulation and Purification 5. Meditation and Recitation of Vajrasattva 6. Offering the Maṇḍala (Optional) 7. Supplication 8. Practice of the Vase Empowerment 9. Practice of the Secret Empowerment 10. Practice of the Wisdom Empowerment 11. Practice of the Fourth Empowerment 12. Dedication, Aspiration and Auspicious Words",༄༅། །བླ་མའི་རྣལ་འབྱོར་མདོ་སྔགས་ལམ་རྫོགས་བཞུགས། །
TMV244_LH,The Sun of Ambrosial Wisdom A Guru Yoga of Dharmarāja Sakya Paṇḍita,༄༅། །ཆོས་རྗེ་ས་སྐྱ་པཎྜི་ཏའི་བླ་མའི་རྣལ་འབྱོར་ཡེ་ཤེས་བདུད་རྩིའི་ཉིན་བྱེད་བཞུགས་སོ། །
TMJ7Z9_LH,Beautiful Clouds of Blessings A Prayer to the Lineage Masters of the Heart Essence of the Vast Expanse from the Great Perfection,༄༅། །རྫོགས་པ་ཆེན་པོ་ཀློང་ཆེན་སྙིང་ཐིག་གི་བརྒྱུད་པའི་གསོལ་འདེབས་བྱིན་རླབས་སྤྲིན་མཛེས།
TMURT7_LH,"Supplication to the Lineage of the Heart-Essence of the Vast Expanse Prayer to the Gurus of the Lineage Prayer to Longchenpa Prayer to Jigme Lingpa Prayer to First Dodrupchen, Jigme Trinle Özer Prayer to Jigme Gyalwe Nyugu Prayer to the Fourth Dzogchen Rinpoche, Mingyur Namkhe Dorje Prayer to Gyalse Shenpen Taye Prayer to Do Khyentse Prayer to Patrul Rinpoche Prayer to Khenpo Pema Vajra Prayer to Khyentse Wangpo Prayer to Jamgön Kongtrul Prayer to Mipham Rinpoche Prayer to Orgyen Tendzin Norbu Prayer to Adzom Drukpa Drodul Pawo Dorje Prayer to the Third Dodrupchen Jigme Tenpe Nyima Prayer to Könchok Drakpa 6 Prayer to Shechen Gyaltsab Gyurme Pema Namgyal Prayer to Nyoshul Lungtok Tenpe Nyima Prayer to Khenpo Ngawang Palzang Prayer to Dzongsar Khyentse Chökyi Lodrö Prayer to Shechen Kongtrul Pema Drimé Lekpé Lodrö Prayer to Dilgo Khyentse Rinpoche Prayer to the Root Guru",༄༅། །ཀློང་ཆེན་སྙིང་ཐིག་གི་བླ་བརྒྱུད་གསོལ་འདེབས་གསུང་རྒྱུན་མ་བཞུགས།
TMMB15_LH,The Rain of Enlightened Activity A Prayer to the Gurus of the Lineage of the Vital Essence of the Aural Transmission Kīla,༄༅། །སྙན་བརྒྱུད་ཕུར་པའི་གནད་ཏིག་གི་བརྒྱུད་པའི་བླ་མ་རྣམས་ལ་གསོལ་བ་འདེབས་པ་ཕྲིན་ལས་ཆར་འབེབ་ཅེས་བྱ་བ་བཞུགས་སོ། །
TMJL0Q_LH,Vajrakīla Prayer: A Rain of Accomplishments,༄༅། །ཕུར་པའི་གསོལ་འདེབས་དངོས་གྲུབ་ཆར་འབེབས་བཞུགས་སོ༔
TMHGIY_LH,Prayer for the Long Life of Dezhung Rinpoche 1,༄༅། །སྡེ་གཞུང་མཆོག་སྤྲུལ་གྱི་ཞབས་བརྟན་གསོལ་འདེབས།
TMCGXO_LH,Prayer for the Long Life of Dzongsar Jamyang Khyentse Rinpoche,༄༅། །རྫོང་གསར་འཇམ་དབྱང་མཁྱེན་བརྩེ་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས་བཞུགས།
TMSXTT_LH,Prayer for the Long Life of Dzongsar Jamyang Khyentsé Rinpoche,༄༅། །རྫོང་གསར་འཇམ་དབྱང་མཁྱེན་བརྩེ་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས་བཞུགས།
TMI7TA_LH,Prayer for the Long Life of Shechen Rabjam Rinpoche,༄༅། །ཞེ་ཆེན་རབ་འབྱམས་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས།
TMHOP6_LH,Prayer for the Long Life of Yangthang Rinpoche,༄༅། །གཡང་ཐང་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས།
TMKFH2_LH,Sweet Song of Vajra Immortality: A Prayer for Long Life,༄༅། །ཞབས་བརྟན་གསོལ་འདེབས་འཆི་མེད་རྡོ་རྗེའི་དབྱངས་སྙན།
TM8TWY_LH,"The Sweet Song of Gathering Auspiciousness A Prayer for Long Life and Name Offering for the Gentle Lord, Dharma Friend and Supreme Tulku Rinpoche",༄༅། །འཇམ་མགོན་ཆོས་ཀྱི་བཤེས་གཉེན་གྱི་མཆོག་སྤྲུལ་རིན་པོ་ཆེར་མཚན་འབུལ་དང་ཞབས་བརྟན་གསོལ་འདེབས་བཀྲ་ཤིས་འཁྱིལ་པའི་དབྱངས་སྙན་ཞེས་བྱ་བ།
TMMMFZ_LH,The Vajra Sitar of Immortality A Prayer for the Long Life of the Fourth Incarnation of Terchen Chokgyur Lingpa,༄༅། །གཏེར་ཆེན་མཆོག་གླིང་སྐུ་ཕྲེང་བཞི་པའི་ཞབས་བརྟན་འཆི་མེད་རྡོ་རྗེའི་རྒྱུད་མང་བཞུགས་སོ། །
TM8H1U_LH,"True Words to Accomplish Immortality A Longevity Prayer to the Tulku of Jamyang Khyentse, Thupten Chökyi Gyatso",༄༅། །མཁྱེན་བརྩེ་མཆོག་གི་སྤྲུལ་པའི་སྐུ་འཇམ་དབྱངས་ཐུབ་བསྟན་ཆོས་ཀྱི་རྒྱ་མཚོའི་ཞབས་བརྟན་འཆི་མེད་གྲུབ་པའི་བདེན་ཚིག་ཅེས་བྱ་བ་བཞུགས།
TMO4OQ_LH,A Prayer to Dilgo Khyentse Rinpoche,༄༅། །དིལ་མགོ་མཁྱེན་བརྩེ་རིན་པོ་ཆེ་ལ་གསོལ་འདེབས།
TMY0NA_LH,A Prayer to Kyabje Dilgo Khyentse Rinpoche,༄༅། །སྐྱབས་རྗེ་དིལ་མགོ་མཁྱེན་བརྩེ་རིན་པོ་ཆེའི་རྗེས་དྲན་གསོལ་འདེབས།
TMXNP8_LH,Invocation of the Vidyādhara Gurus,༄༅། །བླ་མ་རིག་འཛིན་བསྐུལ་བ་བཞུགས།
TMDX8A_LH,Light of Compassion A Prayer to the Wisdom Ḍākinīs,༄༅། །ཡེ་ཤེས་མཁའ་འགྲོའི་ཚོགས་ལ་གསོལ་འདེབས་ཐུགས་རྗེའི་འོད་སྣང་ཞེས་བྱ་བཞུགས།
TMGLPE_LH,Prayer for the Fulfilment of Aspirations,༄༅། །༧གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག་ལ་གསོལ་འདེབས་བཞུགས།
TMS2S6_LH,Prayer to Khandro Tsering Chödrön 1,༄༅། །མཁའ་འགྲོ་ཚེ་རིང་ཆོས་སྒྲོན་ལ་གསོལ་འདེབས།
TM71FI_LH,Prayer to Longchenpa (Adapted from the Words of Mipham Rinpoche),༄༅། །ཀློང་ཆེན་པའི་གསོལ་འདེབས་མི་ཕམ་རིན་པོ་ཆེའི་གསུང་ཁ་བསྒྱུར་བ།
TMCL4I_LH,Supplication to Milarepa,༄༅། །རྗེ་བཙུན་བཞད་པའི་རྡོ་རྗེའི་གསོལ་འདེབས།
TM430G_LH,The Lotus of Faith A Supplication to the Successive Lives of Shechen Rabjam,༄༅། །ཞེ་ཆེན་རབ་འབྱམས་སྐུ་ཕྲེང་རིམ་བྱོན་གྱི་གསོལ་འདེབས་དང་བའི་པདྨོ་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMXAS6_LH,The Potent Nectar of Accomplishment A Prayer and Supplication to the Vidyādhara Gurus of the Three Lineages 1,༄༅།།བརྒྱུད་གསུམ་རིག་འཛིན་བླ་མར་གསོལ་སྨོན་དངོས་གྲུབ་བདུད་རྩིའི་བཅུད་འཛིན་ཞེས་བྱ་བ་བཞུགས་སོ།
TMFWEW_LH,A Prayer to Swiftly Fulfil All Wishes,༄༅། །གསོལ་འདེབས་འདོད་དོན་མྱུར་འགྲུབ་བཞུགས་སོ།
TMF0LH_LH,The Precious Jewel Essence: A Prayer of the Four Dharmas,༄༅། །ཆོས་བཞིའི་གསོལ་འདེབས་རིན་ཆེན་སྙིང་པོ་བཞུགས། །
TMSOX5_LH,The Quintessence of Marvellous Nectar A Prayer Based on the Liberational Life of the Gentle Protector Guru,༄༅། །འཇམ་མགོན་བླ་མའི་རྣམ་ཐར་གསོལ་འདེབས་སྙིང་པོ་ངོ་མཚར་བདུད་རྩིའི་ཉིང་ཁུ་བཞུགས་སོ།    །
TM34AS_LH,The Swift Bestowal of Blessings A Prayer to the Glorious Protector Guru,༄༅། །དཔལ་མགོན་བླ་མའི་གསོལ་འདེབས་བྱིན་རླབས་མྱུར་སྟེར་ཞེས་བྱ་བ་བཞུགས།
TMBBF1_LH,A Sādhana of Golden Mañjughoṣa,༄༅། །འཇམ་དབྱངས་སེར་པོའི་སྒྲུབ་ཐབས། །
TM7QA6_LH,A Sādhana of Tārā Sarasvatī Refuge and Bodhicitta Visualization Offerings Praise Dedication and Aspiration,༄༅། །སྒྲོལ་མ་དབྱངས་ཅན་མའི་སྒྲུབ་ཐབས་བཞུགས།
TMUJD5_LH,Concise Daily Practice of Vajrasattva Refuge & Bodhicitta Main Part Mantra Recitation Dedication,༄༅། །རྡོར་སེམས་རྒྱུན་ཁྱེར་མདོར་བསྡུས་བཞུགས། །
TM3ZNG_LH,"Daily Practice of Guru Rinpoche, Buddha of Medicine",༄༅། །སངས་རྒྱས་སྨན་བླའི་རྒྱུན་ཁྱེར།
TM5MZ2_LH,"The Refined Essence of Compassion A Daily Sādhana for the Natural Liberation of Suffering, the Secret Practice of the Great Compassionate One Lineage Prayer Taking Refuge and Arousing Bodhicitta Confession of Mistakes Dissolution Dedication and Aspiration Verses of Auspiciousness",༄༅། །གསང་སྒྲུབ་ཐུགས་རྗེ་ཆེན་པོ་སྡུག་བསྔལ་རང་གྲོལ་ཀྱི་རྒྱུན་ཁྱེར་ཐུགས་རྗེའི་ཡང་ཞུན་བཞུགས།
TM8K63_LH,"Wisdom Essence of the Mighty One A Daily Practice of Hayagrīva's Play of the Three Realms, from the Ocean of Gathered Teachings of the Awesome Ones Lineage Prayer 2 Prayer in Eight Branches The Main Part: Visualizing the Generation Phase 2. The Stages of Recitation 3. Dissolution and Re-Emergence of the Deities’ Appearance The Conclusion: Dedication and Aspiration",༄༅། །དཔལ་ཆེན་བཀའ་འདུས་རྒྱ་མཚོ་ལས། རྟ་མགྲིན་ཁམས་གསུམ་རོལ་པའི་རྒྱུན་ཁྱེར་དབང་ཆེན་ཐུགས་ཐིག
TMLHN7_LH,Lamenting Prayer to Jamyang Chökyi Lodrö,༄༅། །འཇམ་དབྱངས་ཆོས་ཀྱི་བློ་གྲོས་ལ་གདུང་ཤུགས་སྨྲེ་སྔགས་ཀྱིས་གསོལ་བ་འདེབས་པ།
TMXNAN_LH,"Prayer for the Long Life of Dilgo Khyentsé II of Shechen, Urgyen Tenzin Jigme Lhundrup",༄༅། །དིལ་མགོ་མཁྱེན་བརྩེའི་ཡང་སྲིད་ཨུ་རྒྱན་བསྟན་འཛིན་འཇིགས་མེད་ལྷུན་གྲུབ་ཀྱི་ཞབས་བརྟན་གསོལ་འདེབས།
TMBI6Y_LH,Prayer for the Long Life of Alak Zenkar Rinpoche,༄༅། །ཞབས་བརྟན་བཞུགས།
TMDXG8_LH,Prayer for Liberating Obstacles into Space,༄༅། །གསོལ་འདེབས་བར་ཆད་དབྱིངས་སྒྲོལ་བཞུགས།
TM5E42_LH,The Brightly Smiling Lotus A Prayer to Sarasvatī,༄༅། །དབྱངས་ཅན་གསོལ་འདེབས་ཆུ་སྐྱེས་འཛུམ་དཀར་བཞུགས།
TMY1IR_LH,"The Truthful Words of a Sage An Aspiration Prayer from the Exceedingly Secret, Enlightened Heart-Essence of the Ḍākinī",༁ྃ༾༔ ཡང་གསང་མཁའ་འགྲོའི་ཐུགས་ཐིག་ལས༔ སྨོན་ལམ་དྲང་སྲོང་བདེན་ཚིག༔
TM33M9_LH,"Heart of Vajrasattva—The Heart of Confession, the King of Purification Practices",༁ྃ༔ རྡོ་རྗེ་སེམས་དཔའ་གསང་བ་དྲི་མེད་ལས༔ བཤགས་པའི་སྙིང་པོ་སྦྱངས་པའི་རྒྱལ་པོ་བསྟན༔
TMTXXD_LH,"Heart of Vajrasattva—The Heart of Confession, the King of Purification Practices",༁ྃ༔ རྡོ་རྗེ་སེམས་དཔའ་གསང་བ་དྲི་མེད་ལས༔ བཤགས་པའི་སྙིང་པོ་སྦྱངས་པའི་རྒྱལ་པོ་བསྟན༔
